year_1976,year_1978
8.4,10.4
10.6,9.4
10.8,11.4
11.4,9.6
9,10
8.2,10.8
11,11.4
9.2,10.2
9.6,10.8
9,9.4
10,10.8
9.2,11.2
9.2,11
10.4,9
9.2,10.4
10.2,9.6
9.4,10.8
10.6,10
10.2,8.6
8.4,9.2
8.6,10
9.2,9.4
10.2,10.2
10.2,10.8
11.2,11.2
8.4,10
10.2,11.2
10,11.4
9.2,10
10.4,7.6
10.2,10.2
11.2,10
10.4,9.4
8.8,10.2
9.4,10.8
9.6,9.6
6.6,11
9.4,9
10.4,10.2
8.8,9.4
9.4,10.4
10.8,10.4
9.4,7.6
10.4,9.6
9.2,6.8
9.2,10.4
10.6,10.8
10.2,10.6
7.6,9.6
10.2,10.6
8.6,8.4
9.8,10.2
7.8,10.6
8.4,9.2
10.2,10.4
8.6,10.8
9.6,10.4
8.2,9
8.6,10.6
9.2,9.8
8.2,11.2
10.6,9.8
10,10.2
9.6,10
9.6,8.8
8.8,10
9.8,10.4
9.6,9.2
10.6,11
8.6,10.2
9.4,11.4
9.4,10
10,10.6
8.4,11.2
10.2,8.8
10,8.8
9.4,10
10.4,8.8
9.4,9
8.2,10.6
9.2,10
9.8,8.2
10,9.6
10.2,9.4
10.8,10
8.4,10.2
10.6,10.2
10.6,10.6
9.4,10.4
7.6,8.4
8.8,10
10.2,9.2
8.2,11.2
7.2,
8.8,
9.4,
7.8,
6.8,
8.8,
6.4,
9.6,
10.6,
11,
9.4,
8.4,
9.8,
9.4,
8.4,
8.8,
8.6,
9,
9,
11,
9.8,
8.8,
9.4,
9.2,
6.6,
8.6,
8.8,
7.4,
9,
9.8,
8.8,
9.6,
7.8,
7.2,
9,
11.2,
8.8,
9,
9,
9.8,
9.8,
9.2,
8.8,
8.8,
9.4,
10.2,
8.8,
9.8,
7.4,
8.8,
11.4,
9,
10,
7.2,
10.4,
9.6,
8.8,
8.6,
9.2,
8.8,
8.4,
9.4,
8.2,
8.4,
10,
9.2,
8.8,
9.4,
9.2,
8.8,
10.8,
11,
10,
9.4,
9.8,
10.4,
9,
7.8,
10.2,
10.6,
8.4,
10,
10.6,
9.4,
10.2,
10.8,
9.6,
9.6,
8.4,
8.2,
9,
9.4,
8.8,
11.4,
8,
7.4,
9,
10.8,
9.6,
8.2,
10,
9.2,
9.6,
8.8,
10.6,
9.6,
8.4,
8.2,
9.2,
10,
8,
6.8,
9.6,
9,
9.4,
9.6,
9.8,
10.6,
9.6,
8.6,
10.4,
8,
8.8,
11,
9.4,
9.4,
9.4,
9.6,
9.2,
8.2,
10.6,
9.6,
9.8,
10.2,
10.2,
9.6,
6.6,
8.2,
9.2,
9.8,
9.4,
9.8,
9.6,
8,
8.8,
11.2,
10,
8.2,
7.6,
9.2,
8.4,
9.6,
10.2,
8.8,
9.4,
9.6,
10,
9.2,
8.8,
9,
11.2,
10,
9,
10.2,
10.2,
9.4,
10,
9.2,
9.4,
5.8,
9.6,
12,
9.6,
8.6,
8.4,
8.2,
8.4,
9,
9.6,
9.2,
9.2,
9,
9.4,
10,
9,
8.8,
8.8,
9.4,
10.2,
9,
9.8,
9.6,
9.6,
10,
9.2,
9.2,
9,
9.2,
9.6,
9.6,
10.2,
8.2,
9.2,
8.4,
9.6,
10,
8.8,
8.8,
10.4,
9.2,
8.8,
8.8,
9.4,
9.2,
9.4,
7.4,
8.6,
9.2,
10,
8.8,
9.6,
9.4,
12,
9.8,
10.8,
8.6,
11,
10.2,
9.4,
9.4,
9.6,
9,
8.8,
9.2,
9.2,
8.8,
9.6,
9.4,
10,
9,
8.8,
7.8,
9.6,
9.4,
9.4,
9.2,
10,
8.2,
10,
8.8,
9.6,
9.2,
9,
7.6,
9.8,
10.2,
10.2,
8.4,
8.8,
8.8,
10.4,
10.4,
9.4,
10.6,
8.6,
8,
9.8,
10.2,
8.8,
8.4,
10.2,
9.6,
10.2,
10.2,
8.2,
9.4,
9.4,
8.8,
10,
9,
8.8,
9.2,
10.4,
10,
10.6,
10.2,
8.8,
12.2,
10.6,
9.8,
9.6,
8.8,
9,
9.2,
9.2,
9.6,
9.2,
11.4,
10.2,
7.6,
10.4,
9.6,
7,
9.2,
10.6,
9.2,
9,
9.8,
9.6,
8.4,
9,
8.8,
8.8,
10.6,
9,
9.2,
9,
10.4,
9.8,
9.8,
10.2,
8.6,
9.2,
9.2,
7.2,
10.2,
8.6,
9.4,
8.8,
9.2,
7.8,
9.8,
10.6,
9.6,
9.4,
11,
9.4,
10.2,
8.2,
12.2,
9,
9.4,
9.8,
9.4,
8.4,
8.2,
9,
8.4,
8.8,
10.6,
8.8,
8.8,
9.4,
10.6,
9.6,
7.8,
9.6,
9.2,
9.4,
10.2,
6.8,
8.6,
8.8,
9,
10.6,
10.6,
10,
8.4,
10,
10.2,
8.4,
7.6,
9.6,
10.4,
9,
8.2,
9.8,
9.8,
9.4,
13.8,
9.4,
9.6,
10.2,
8.2,
8.6,
9.8,
10,
9.2,
9.4,
10.2,
8.6,
10.2,
8.6,
9,
10.2,
8.4,
10.2,
8.4,
8.8,
10.2,
6.8,
9.2,
8.6,
10.4,
9.6,
9,
8.2,
9.4,
10,
11,
8.2,
6.6,
8.6,
8,
9.2,
9.6,
9.8,
10.4,
10.6,
10.2,
8.4,
8.8,
9.6,
10,
10.4,
9.6,
8.8,
8.8,
8.8,
8.6,
9.6,
10.2,
10.2,
9.2,
8.8,
7.8,
10,
6.6,
10.6,
9.8,
8,
10,
9.2,
11.4,
8.4,
10.2,
8.8,
9,
9.8,
8.6,
9,
8.2,
8.4,
9.6,
9.8,
9.6,
10,
8.6,
6.4,
11.4,
9.4,
9.6,
9.2,
10,
10,
8.8,
10,
8.2,
9,
8,
9.2,
7.8,
8.8,
10.4,
10.6,
9.6,
10.8,
6.6,
8.6,
10,
9.6,
